STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/17/2008,0,85,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/18/2008,0,88,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/19/2008,0,82,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/20/2008,0,78,50
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/21/2008,0,83,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/22/2008,0,84,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/23/2008,0,81,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/24/2008,0,86,61
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/25/2008,0,82,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/26/2008,0,79,53
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/27/2008,0,78,53
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/28/2008,0,82,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/29/2008,0.03,80,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/30/2008,0.42,85,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/31/2008,0,84,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/1/2008,0,85,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/2/2008,0,89,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/3/2008,0,87,66
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/4/2008,0,92,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/5/2008,0.02,89,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/6/2008,3.9,80,69
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/7/2008,0,82,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/8/2008,0,82,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/9/2008,0.66,73,62
